Benchmark,Base LoC,Base Nodes,Norm LoC Inc,Norm Nodes Inc,Inlining LoC Inc,Inlining Nodes Inc
CHStone-adpcm-N,410,3025,1.448780487804878,1.1368595041322314,10.397560975609757,5.565619834710744
CHStone-aes-N,565,5663,1.3274336283185841,1.1176055094472894,11.461946902654867,6.716051562775914
CHStone-blowfish-N,270,14501,1.3222222222222222,1.0281359906213365,8.796296296296296,2.8753879042824635
CHStone-gsm-N,332,3039,1.6265060240963856,1.2076340901612372,9.876506024096386,4.911813096413294
CHStone-mips-N,177,905,1.9774011299435028,1.8430939226519336,3.84180790960452,3.512707182320442
CHStone-motion-N,216,5332,1.7638888888888888,1.0851462865716428,164.0648148148148,23.065266316579145
CHStone-sha-N,161,17345,1.5031055900621118,1.013260305563563,11.975155279503106,1.4427788988181032
NAS-BT-W,2013,27822,1.8445106805762543,1.1441305441736755,13.59612518628912,12.35723528143196
NAS-CG-W,512,3559,2.240234375,1.4352346164652992,5.634765625,3.4585557740938464
NAS-EP-W,256,1626,1.609375,1.186961869618696,3.54296875,2.613161131611316
NAS-FT-W,624,4639,1.8493589743589745,1.2384134511748222,17.903846153846153,11.049795214485881
NAS-IS-W,295,1713,1.7796610169491525,1.3304144775248103,4.827118644067797,3.195563339171045
NAS-SP-W,1846,20566,2.1706392199349946,1.2259068365263055,11.065005417118094,5.285568413886998
Inlinebench-k_means,106,603,2.509433962264151,1.792703150912106,4.2075471698113205,2.827529021558872
Inlinebench-matrix_mult,73,331,2.0684931506849313,1.540785498489426,5.273972602739726,3.6465256797583083
Inlinebench-vec_multiple_returns,46,195,1.608695652173913,1.4615384615384615,3.108695652173913,2.1846153846153844
