Benchmark,clang_-O0 Base (ms),Speedup,clang_-O2 Base (ms),Speedup,gcc_-O0 Base (ms),Speedup,gcc_-O2 Base (ms),Speedup
CHStone-adpcm-N,0.0533895,0.8224999518573436,0.016192250000000002,1.1428848715844826,0.062072125,0.7365524013224739,0.017364375,0.9369119640653137
CHStone-aes-N,0.057002124999999994,1.0569478985831398,0.009006375,1.0309200171698385,0.037910125,0.7655904478214773,0.010624375,1.154650799472905
CHStone-blowfish-N,0.33321837499999996,0.763306007095468,0.146287875,0.6899443942677519,0.290866375,0.8170323465920982,0.166592,0.8976025291408182
CHStone-motion-N,0.0012615,0.6864372194259285,0.0014483750000000002,1.1627696939287506,0.00159925,0.8905749686760407,0.0011891249999999999,0.9994746795545283
NAS-BT-W,6060.123317375001,0.967447593238123,1750.671111875,0.9949673311199108,8164.50957725,0.9731189136851971,1973.60698525,1.0015646317292155
NAS-CG-W,681.127871125,0.92397325577959,199.20341324999998,1.0154455568960319,737.520575875,0.864639874193496,202.08439287500002,1.0012180106244584
NAS-EP-W,4155.632514375,0.9839860334305567,2252.4148458750005,0.9997397258982319,4142.763003125,0.987405202423534,2724.8263447500003,0.9930950037239169
NAS-FT-W,655.7093292499999,0.94351827463494,165.471227,1.0220394743915158,642.699605375,0.9379767559030332,189.88549112500002,0.9920823260370969
NAS-IS-W,28.297474,0.9097991982346005,18.349932125000002,0.9257589411538715,33.027758375,0.876487942082321,18.9717075,0.9960635405092036
NAS-MG-W,819.4475685,0.928112292146175,135.100672125,0.974284809772315,918.2933395,0.9491765729562037,158.10878962500001,0.9754894446900613
NAS-SP-W,17600.24590675,0.9354632117952548,3206.16537175,1.0021159379747595,28390.87240775,0.9556427021836528,4290.4488949999995,1.0012775255619022
Inlinebench-k_means,17201.000974375,0.8768197283758816,2943.3374415,0.9861655321608829,16949.772681500002,0.8554521076893835,5380.93834125,1.0035847435051422
Inlinebench-matrix_mult,12792.90041625,0.9708346850792285,12459.398711125,0.9998163534597824,12680.802489625,0.9620943138610161,12430.47407375,0.9952375905459128
Inlinebench-vec_multiple_returns,23575.34894475,0.9767876039187884,6060.037266500001,1.003246437185931,23651.217156875,1.0326569068178244,3568.0961267499997,1.0071696060596873
